N°,Fecha,Lugar,Actor o grupo social emisor,Institución y Cargo actor o grupo social emisor,Actor o grupo social Involucrado 1,Institución y Cargo actor o grupo social involucrado 1,Acontecimiento,Posición,Área,"Studio 5 – Studio 5 Noticias – Rubén Valdés Alvarado, Paola Reynaga (97.7)",Ondas del Huallaga – Noticiero Ondas del Huallaga - José Carlos Ponce de León(88.9),"Radio Noticias del Perú – Radio Noticias Huánuco Edición Central – Bequer Bejarano, Nuvith Condezo Celis, Juan Malpartida (102.5)","Primer Plano - RNP - Ítalo Guillermo, Silvia Salas (102.5)",Radio Nacional – Cuatro Suyos – Ronald Cáceres / Manuel Bejarano (100.9),Radio Sinaí - Opinión Libre - Jaime Herrera  Echevarria (90.1),Radio Rumba Perú - RTL Noticias - Koko Giles/ Juan Manuel (95.3),Radio Pulsar - El Informante - Miguel Angel Domínguez (100.5),Radio Llata - Punto de Encuentro - Carlos Chavez Firma(92.3),Radio Paraiso 96.9 - Aires de Tradición Andina - Hector Facundo Damazo,Panorama Cultural Oyonense - Maximo Samaniego - Radio Oyon (102.5),Noticiero Musical - Hector Facundo Damazo - Radio Sol - Oyon,Radio La Altura 7-9am,Radio UNHEVAL – Noticiero (96.1)
1,2022-06-01,Ayacucho,Periodista,,,,"Comentó que por falta de garantías por parte de la prefectura suspendieron serenata por el aniversario del distrito de Amarilis, pese a ello se desarrollará un pasacalle este miércoles por la plaza de Paucarbamba.",Gris,Sociedad,1.0,1.0,1.0,,,1.0,1,,,,,,,1.0
2,2022-06-01,Ayacucho,Periodista,,María Tarazona,Viceministra de Políticas y Evaluación del Ministerio de Desarrollo e Inclusión Social,"Informó que María Tarazona, viceministra de Políticas y Evaluación del Ministerio de Desarrollo e Inclusión Social, se les cuestiona por más de 400 llamadas al celular del presidente.",Gris,Corrupción,,1.0,1.0,,,1.0,1,,,,,,,1.0
3,2022-06-01,Ayacucho,Periodista,,Luis Alberto Juipa Peña,Exalcalde del distrito de Rondos,"Informó que fue detenido exalcalde del distrito de Rondos, Luis Alberto Juipa Peña, procesado por presuntos actos de corrupción.",Gris,Corrupción,1.0,1.0,1.0,,,1.0,1,,,,,,,
4,2022-06-01,Ayacucho,Periodista,,Roberto Teófilo Villarreal,Director de la UGEL Dos de mayo,"Comentó que el director de la UGEL de la provincia Dos de mayo, Roberto Teófilo Villarreal, ya se hizo presente en el local donde fue recibido por la planta docente.",Gris,Educación,1.0,1.0,,,,,,,,,,,,
5,2022-06-01,Ayacucho,Jhon José Nalvarte Loya,Director de la Oficina Regional de Gestión en Conflictos Sociales del Gobierno Regional de Huánuco,Gobierno Regional de Huánuco,,"Comentó que varios de las situaciones de conflicto ocurridos en la región ocurrieron principalmente por las acciones del Gobierno Regional de Huánuco. Indicó que actualmente se está solucionando las demandas del colegio Hermilio Valdizán el cual realizó un plantó el 9 de mayo, que motivó al desarrollo de una mesa de diálogo.",Gris,Gobierno Regional,,1.0,,,,,,,,,,,,
6,2022-06-01,Ayacucho,Periodista,,,,"Comentó que se efectuó el despido masivo de trabajadores CAS del Hospital Regional Hermilio Valdizán, son 288 los trabajadores que se les sacó del registro de asistencia y sus roles a través de un comunicado, de manera arbitraria, sin comunicar al personal, encima no reciben su sueldo ni adenda.",Gris,Trabajo,,,,,,1.0,,,,,,,,
7,2022-06-01,Ayacucho,Periodista,,,,"Mencionó que un incendio forestal se produjo en la provincia de Pachitea, donde el fuego arrasó gran cantidad de hectáreas.",Gris,Medioambiente,,,,,,1.0,1,,,,,,,
8,2022-06-01,Ayacucho,Periodista,,,,"Indicó que, en Huánuco, en lo que va del año 4 personas perdieron la vida a causa del dengue, comunicó la dirección de epidemiología.",Gris,Salud,,,,,,1.0,1,,,,,,,
9,2022-06-01,Ayacucho,Periodista,,,,"Indicó que están llegando mineros informales a Paucarcito, provincia de Puerto Inca, procedentes de Madre de Dios, por lo que preguntó dónde está la fiscalía de medioambiente y atiendan este caso que afecta a los terrenos de las comunidades nativas del lugar, gracias a 3 dirigentes que venden terrenos donde hay oro. ",Celeste,Minería ilegal,,,,,,1.0,,,,,,,,
10,2022-06-01,Ayacucho,José Ángel Mendoza,Director regional de Energía y Minas,,,"Comentó que acaba de llegar de una reunión con funcionarios de Ucayali en la provincia de Puerto Inca, y que es cierto lo manifestado por el periodista (sobre minería informal en dicha provincia), que ha venido gente de Madre de Dios, Puerto Maldonado, de Piura, Cusco, entre otros, todos a Puerto Inca. Mencionó que la solución a este problema ya la expuso: se anulará cualquier REINFO o inscripción que quiera trabajar en Puerto Inca, y que ya dio la orden para que se anule todas las concesiones otorgadas el año pasado, durante su ausencia. Indicó que en Paucarcito hay personas ilegales, y le informó al jefe comunero de la zona que lo que estaba mal lo que se hacía. Mencionó que ya mandó un documento a la policía especializada en materia ambiental de Lima para que haga una intervención, y esta permita quemar o retirar la maquinaria en el lugar.",Celeste,Minería ilegal,,,,,,1.0,,,,,,,,
11,2022-06-01,Ayacucho,Periodista,,,,"Informó que se realizó con éxito el primer simulacro multipeligro en la provincia de Ambo, con presencia de autoridades y efectivos policiales.",Gris,Seguridad,1.0,,,,,,,,,,,,,1.0
12,2022-06-01,Ayacucho,Periodista,,Municipalidad Provincial de Huánuco,,"Comentó que este 26 y 27 de mayo se realizó el festival de la papa amarilla XXI, evento que contó con gran apoyo por parte de la Municipalidad Provincial de Huánuco y gobierno regional, y que tuvo como objetivo apoyar a los productores de papa.",Celeste,Agropecuario,,,,,,,,,,,,,,1.0
13,2022-06-01,Ayacucho,Manuel Garay,Reciclador,,,"Habló sobre su trabajo como reciclador, el cual inicia desde temprano, lamentó que la sociedad actual no reconozca la labor de reciclador, y que mucha gente bota su basura sin separar. Indicó que actualmente la ciudad de Huánuco está desordenada y sucia, no hay control en la limpieza.",Gris,Medioambiente,,,,,,,,,,,,,,1.0
14,2022-06-01,Ayacucho,Edwin Espinoza Ambrosio,Jefe de la Oficina de Imagen Institucional de SEDA Huánuco,"Ministerio de Vivienda, Construcción y Saneamiento",,"Comentó sobre el festival de la papa amarilla realizada en la plaza de armas en la ciudad de Huánuco, evento en la que SEDA participó porque tiene que ver mucho en el tema ambiental y agua. Indicó que se está trabajando conjuntamente con todas las municipalidades para obligar a negocios y comercios a colocar una trampa de retención de grasas y sólidos, y estos no evacuen al sistema de alcantarillado y llegue al río Huallaga que se está contaminando constantemente. Mencionó que SEDA Huánuco explicó durante el festival el proyecto de construcción para que la ciudad de Huánuco cuente con una planta de tratamiento, proyecto valorizado en más de 160 millones de soles y tiene un financiamiento del banco alemán KFW, la cual está trabajando conjuntamente con el Ministerio de Vivienda, y SEDA Huánuco es parte de este proyecto.",Celeste,Agua,,,,,,,,,,,,,,1.0
15,2022-06-01,Ayacucho,Periodista,,Municipalidad Provincial de Yarowilca,,Mencionó que en redes sociales denuncian que en la Municipalidad Provincial de Yarowilca existirían trabajadores fantasmas allegados a funcionarios municipales.,Gris,Trabajo,,,1.0,,,,1,,,,,,,
16,2022-06-01,Ayacucho,Periodista,,Lucas Ghersi,Abogado,"Informó que el 10 de junio llegará a Huánuco el abogado Lucas Ghersi, impulsor del promotor de “No a la asamblea constituyente”, iniciativa que también está siendo apoyado por huanuqueños.",Verde,Política,,,1.0,,,,1,,,,,,,
17,2022-06-01,Ayacucho,Periodista,,,,"Respecto a la suspensión de la serenata del distrito de Amarilis, comentó que las cosas se hacen bien con la debida organización y autorización, para de esta manera prevenir accidentes. En tal sentido, señaló que los regidores desconocían cuánto se iba a gastar y movilizar, no había permisos, y esto debido a la irresponsabilidad de la municipalidad. ",Celeste,Municipalidad,,,1.0,,,,,,,,,,,
18,2022-06-01,Ayacucho,Lucas Ghersi,Abogado,,,"Comentó que ciertamente hay varios cambios que se tienen que hacer a la Constitución, pero de ninguna manera se puede aceptar esta propuesta de la asamblea constituyente, por esta significa poder absoluto el cual podría triturar al país y a los derechos de la gente. Indicó que un cambio importante en la Constitución sería el que tiene que ver con los recursos naturales, porque en el Perú, si se encuentra recursos, estos pertenecen al Estado, el cual se las entrega a una trasnacional, mientras que la comunidad queda destruida, eso debería cambiar, como también debe cambiar el régimen político, por ejemplo, eligiendo al Congreso por partes. Respecto a la no rendición de cuentas por parte de algunas autoridades cuyas regiones reciben, por ejemplo, canon minero, como en Cajamarca, indicó que el canon minero y distribución del mismo, no es un asunto constitucional, es un problema legal; así mismo, comentó que en el país el canon minero funciona muy mal, porque este da un montón de dinero al Estado, al gobierno regional, pero este no tiene la capacidad de gastar correctamente el dinero, y a veces no tiene la honestidad para gastarlo, por lo que considera que el dinero del canon minero vaya directamente a los bolsillos de los ciudadanos. En esa línea, mencionó que en el Congreso ya se ha presentado una reforma que el canon vaya al ciudadano, y reiteró que este tema es legal, no está en la Constitución. Por otro lado, mencionó que para que mejoren los servicios públicos debe haber inversión y gestión, no es un tema constitucional, de eso no depende la mejora de la salud o educación.",Celeste,Política,,,1.0,,,,,,,,,,,
19,2022-06-01,Ayacucho,Carlos Lozada,Director de Desarrollo Ganadero,,,Indicó que se está trabajando a nivel nacional para capacitar a los empresarios ganaderos de distintas regiones agrícolas con la finalidad de que se mejore la calidad de la leche que venden. De igual forma de coordinará con las empresas para que comuniquen a los consumidores los valores nutricionales reales.,Celeste,Desarrollo productivo,,,,,1,,,,,,,,,
20,2022-06-01,Ayacucho,Ángela Acevedo,Directora del Ministerio de la Mujer,,,"Solicitó a las mujeres de las provincias más alejadas del país a no tolerar la violencia física ni verbal y llamar a la línea 100 para transmitir sus casos con la finalidad de brindar auxilio, asesoría legal y atención a las mujeres maltratadas.",Gris,Mujer,,,,,1,,,,,,,,,
21,2022-06-02,Ayacucho,Periodista,,,,"Comentó que más de 280 trabajadores covid CAS del Hospital Regional Hermilio Valdizán fueron despedidos, por lo que estos protestaron y expresaron que la salud pública está en peligro por la falta de personal",Gris,Trabajo,,1.0,1.0,,,1.0,1,,,,,,,
22,2022-06-02,Ayacucho,Periodista,,Southern Peru,,"Mencionó que, en Apurímac, un campamento minero de la empresa Southern Peru acabó en cenizas tras un incendio provocado por desconocidos. ",Rojo,Minería,,,,,,1.0,1,,,,,,,
23,2022-06-02,Ayacucho,Periodista,,Municipalidad Provincial de Huánuco,,Comentó que trabajadores de pistas y veredas de obra ejecutada por la Municipalidad Provincial de Huánuco cometieron negligencia al provocar corte eléctrico.,Gris,Electrificación Rural,,,,,,1.0,1,,,,,,,1.0
24,2022-06-02,Ayacucho,Periodista,,Gustavo Alvarado,Gerente de Desarrollo Social del Gobierno Regional de Huánuco,"Mencionó que el gerente de Desarrollo Social del Gobierno Regional de Huánuco, Gustavo Alvarado, aclaró que los trabajadores CAS del Hospital Hermilio Valdizán que fueron retirados conocían que este año no se contaba con partida presupuestal para el pago de sus salarios.",Gris,Trabajo,,1.0,1.0,,,1.0,1,,,,,,,1.0
25,2022-06-02,Ayacucho,Periodista,,Américo Cárdenas,Consejero regional de Huánuco,"Indicó que la incertidumbre que viven los trabajadores del Hospital Regional Hermilio Valdizán, el consejero Américo Cárdenas manifestó que ante todo deben prevalecer los derechos de los profesionales de la salud.",Gris,Trabajo,,1.0,1.0,,,1.0,1,,,,,,,1.0
26,2022-06-02,Ayacucho,Walter Rojas,Abogado,Municipalidad Provincial de Huánuco,,"Mencionó que este martes la fiscalía se acercó a la gerencia de la Municipalidad Provincial de Huánuco, solicitando todos los actuados y expedientes de las ciclovías que hoy están en la crítica del pueblo. Mencionó que para las ciclovías se invirtió cerca de 23 millones de soles en 20 ciudades del país y ninguna de ellas funciona, presupuesto cuyo uso fue indebido en la cual ya se está investigando.",Gris,Corrupción,,1.0,,,,,,,,,,,,
27,2022-06-02,Ayacucho,Periodista,,,,"Informó que el Gobierno tiene un atraso de 19 mil millones de soles en ejecución de obras, hasta mayo no se ejecuta el 80% del presupuesto.",Celeste,Presupuesto,,,,,,1.0,,,,,,,,
28,2022-06-02,Ayacucho,Periodista,,,,"Comentó que se podría producir caída de acciones por retiros de AFP, y que los fondos privados de pensiones deberán vender sus activos para financiar retiro de fondos.",Gris,Economía,,,,,,1.0,,,,,,,,
29,2022-06-02,Ayacucho,Periodista,,Congreso de la República,,"Mencionó que el Ejecutivo está avanzando para crear ministerio de ciencia y tecnología, aún hace falta el filtro del Congreso.",Gris,Gobierno Central,,,,,,1.0,,,,,,,,
30,2022-06-02,Ayacucho,Periodista,,Humberto Campodónico,Ingeniero,"Indicó que la Refinería de Talara recién operaría a fin de año y no en septiembre, según el ingeniero Humberto Campodónico. ",Gris,Energía,,,,,,1.0,,,,,,,,
31,2022-06-02,Ayacucho,Periodista,,,,"Señaló que la tarifa eléctrica subió 13% el último año, el Gobierno ampliará subsidio, pero recién en el 2023.",Gris,Energía,,,,,,1.0,,,,,,,,
32,2022-06-02,Ayacucho,Periodista,,Gobierno Regional de Huánuco,,"Sobre el despido de 280 trabajadores CAS, indicó que esta situación fue generada por la administración del hospital y la corrupción en el Gobierno Regional de Huánuco, atropellando a estos trabajadores que no reciben sueldo hace 3 meses y ahora son sacados. ",Gris,Trabajo,,,,,,1.0,,,,,,,,
33,2022-06-02,Ayacucho,Osvaldo Arteaga,Vecino de Huánuco,Municipalidad Provincial de Huánuco,,"Indicó que a la Municipalidad Provincial de Huánuco le debe importar un comino la estética de la ciudad, porque están rompiendo pistas y veredas, afectando a vecinos y vehículos.",Gris,Infraestructura,,,,,,1.0,,,,,,,,
34,2022-06-02,Ayacucho,Periodista,,Municipalidad Provincial de Huánuco,,"Informó que empresas locales que promueven el cuidado del medioambiente expusieron sus productos en la feria organizada por el Día Mundial del Medioambiente, evento organizado por la Municipalidad Provincial de Huánuco en la Plaza de Armas.",Celeste,Medioambiente,,,,,,,,,,,,,,1.0
35,2022-06-02,Ayacucho,Periodista,,Edith Ramírez,Prefecta de Huánuco ,Señaló que el estudio jurídico Lima Group SAC presentará una denuncia en contra de la prefecta de Huánuco Edith Ramírez y el comisario del distrito de Amarilis por impedir la realización de la serenata por el aniversario de la localidad.,Celeste,Judicial,,,,,,,,,,,,,,1.0
36,2022-06-02,Ayacucho,Periodista,,Alex Celestino Vásquez,Alcalde del distrito de Amarilis,"Informó que vecinos de la calle Daniel Alcides Carrión, distrito de Amarilis, exigieron al alcalde Alex Celestino Vásquez de la jurisdicción ejecutar obras y no realizar fiestas para conmemorar aniversarios. ",Gris,Gobierno Locales,,,,,,,1,,,,,,,
37,2022-06-02,Ayacucho,Periodista,,Servicio Nacional de Meteorología e Hidrología del Perú,,"Comentó que se produjo una tormenta de arena en Piura, acompañado de vientos huracanados, fenómeno alertado por el SENAMHI días atrás.",Gris,Fenómenos Naturales,,,,,,,1,,,,,,,
38,2022-06-02,Ayacucho,Periodista,,Dina Boluarte,Vicepresidenta de la República,"Indicó que congresistas de diferentes bancadas, principalmente de Renovación Popular, presentaron una moción de interpelación contra la vicepresidenta Dina Boluarte.",Celeste,Política,,,,,,,1,,,,,,,
39,2022-06-02,Ayacucho,Periodista,,,,"Señaló que la presidenta del Congreso de la República, María del Carmen Alva, sustentó un proyecto que propone el retorno a la bicameralidad.",Gris,Política,,,,,,,1,,,,,,,
40,2022-06-02,Ayacucho,Vecinos de Huánuco,,Pedro Castillo,Presidente de la República,"En llamadas telefónicas, vecinos de Huánuco manifestaron su desacuerdo a la bicameralidad porque servirá a los congresistas a continuar robando al pueblo, y quienes deberían ya irse a su casa, que a Pedro Castillo le falta mano dura contra estos congresistas.",Naranja,Política,,,,,,,1,,,,,,,
41,2022-06-02,Ayacucho,Lisbeth Soria,Nutricionista del Hospital Jorge Voto Bernales,,,"Dio a conocer recomendaciones para no contraer la gripe, priorizando consumir alimentos que activen el sistema linfático del cuerpo para eliminar las toxinas.",Gris,Nutrición,,,,,,,1,,,,,,,
42,2022-06-02,Ayacucho,Periodista,,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Mencionó que exfuncionario del exgobernador regional de Huánuco, Juan Alvarado Cornelio, rechaza acusaciones sobre enriquecimiento ilícito.",Gris,Corrupción,,,1.0,,,,,,,,,,,
43,2022-06-02,Ayacucho,Periodista,,Congreso de la República,,"Informó que el Congreso de la República aprobó acusación, pero rechazó inhabilitar a exfiscal de la Nación, Pedro Chávarry, acusado por graves delitos de corrupción.",Gris,Política,,,1.0,,,,,,,,,,,
44,2022-06-02,Ayacucho,Nayland Cueva,Exdirector de la Unidad de Imagen Institucional del Gobierno Regional de Huánuco,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Manifestó que su persona nunca recibió beneficios cuando trabajaba en la gestión del exgobernador Juan Alvarado Cornelio, y que es falso aquellas especulaciones que recibió un fuerte sueldo.",Gris,Corrupción,,,1.0,,,,,,,,,,,
45,2022-06-03,Ayacucho,Periodista,,Perú Libre,,"Comentó que un grupo de congresistas de Perú Libre presentó este jueves un proyecto de ley para nacionalizar la explotación del cobre y crear una empresa nacional para operar la mina Las Bambas, actualmente explotada por la empresa china MMG.",Rojo,Minería,,1.0,1.0,,,1.0,1,,,,,,,1.0
46,2022-06-03,Ayacucho,Periodista,,Claudio Cáceres,Gerente de asuntos legales de Las Bambas,"Indicó que dicha operación minera representa el proyecto con la mayor inversión en la historia de Perú. En ese sentido, lamentó que lleve 50 días paralizado sin poder reiniciar operaciones, y que la unidad minera esta dejando de aportar 5 millones diarios por canon y regalías a Apurímac. ",Verde,Economía,1.0,1.0,1.0,,,1.0,1,,,,,,,
47,2022-06-03,Ayacucho,Periodista,,Gustavo Alvarado,Gerente de Desarrollo Social del Gobierno Regional de Huánuco,"Informó que 288 trabajadores despedidos del Hospital Regional Hermilio Valdizán temen que no les paguen sus haberes que el nosocomio les adeuda desde el mes de marzo. Asímismo, mencionó que dentro de 15 días el Consejo Regional de Huánuco citará a Gustavo Alvarado, gerente de Desarrollo Social del Gobierno Regional, y al director del hospital, Brady David Aristides Caipa, para que informen lo sucedido con dichos trabajadores.",Gris,Trabajo,1.0,1.0,1.0,,,1.0,1,,,,,,,1.0
48,2022-06-03,Ayacucho,Periodista,,Miguel Cárdenas Calderón,Presidente de ciclistas de Amarilis,"Comentó que el presidente de ciclistas de Amarilis, Miguel Cárdenas Calderón, señaló que el fracaso de la ciclovía en la ciudad de Huánuco fue por falta de coordinación con la Municipalidad Provincial de Huánuco.",Gris,Deporte,,,1.0,,,,1,,,,,,,1.0
49,2022-06-03,Ayacucho,Periodista,,Adela Isla,Integrante del grupo La Coalición Dignidad por Huánuco,"Indicó que la integrante del grupo La Coalición Dignidad por Huánuco, Adela Isla, pidió a la jueza que lleva el caso del exgobernador Juan Alvarado Cornelio, buscado por la policía tras estar implicado en el presunto delito de colusión agravada, a no acobardarse ante nada y tome uan decisión correcta y transparente.",Gris,Corrupción,1.0,1.0,1.0,,,1.0,1,,,,,,,
50,2022-06-03,Ayacucho,Periodista,,Beder Bustamante García,Alcalde de la provincia de Lauricocha,"Indicó que el alcalde de la provincia de Lauricocha, Beder Bustamante García, felicitó a las empresas que se sumaron a la ejecución de obras en la localidad, destacando el mantenimiento de la carretera de Linderos, que comunica los distritos de Jesús y Margos. Además, señaló que el burgomaestre comentó que a través de FONCOMUN se inició la construcción de la Plaza de Armas del centro poblado de Cuartel Pampa, y la construcción de la primera etapa de pistas y veredas en el jirón Leoncio Prado.",Celeste,Infraestructura,,,1.0,,,,1,,,,,,,1.0
51,2022-06-03,Ayacucho,Periodista,,Juan Ferrer,Consejero regional de Huánuco,"Señaló que el consejero regional de Huánuco, Juan Ferrer, aseguró que este lunes 6 de junio la comisión de infraestructura instalará una mesa de trabajo con las autoridades regionales para ver el tema de las obras que se van a desarrollar en el centro poblado Santa Virginia.",Gris,Infraestructura,,1.0,,,,1.0,1,,,,,,,
52,2022-06-03,Ayacucho,Periodista,,Amancio del Águila,Consejero regional de Huánuco,"Mencionó que el consejero regional de Huánuco, Amancio del Águila, alertó que, en la gestión del gobernador regional de Huánuco, Erasmo Fernández, hay un total desgobierno, porque estaría rodeado de gente que está manchada de corrupción, por lo que pidió al Estado intervenir en el gobierno regional.",Celeste,Corrupción,,,,,,,1,,,,,,,1.0
53,2022-06-03,Ayacucho,Periodista,,Congreso de la República,,"Mencionó que el Congreso de la República aprobó las acusaciones constitucionales contra el exfiscal de la Nación Pedro Chávarry por los presuntos delitos de encubrimiento personal, encubrimiento real y otros.",Gris,Judicial,,1.0,,,,,,,,,,,,
54,2022-06-03,Ayacucho,Periodista,,Jhon José Nalvarte Loya,Director de la Oficina Regional de Gestión en Conflictos Sociales del Gobierno Regional de Huánuco,"Comentó que, durante la última sesión extraordinaria del Consejo Regional de Huánuco, por acuerdo de los consejeros presentes, fue retirado Jhon Nalvarte, actual director de Gestión en Conflictos Sociales, por considerar que los agravió como dirigente de la denominada Coalición ciudadana, y no se retractó, ni pidió disculpas oportunamente.",Gris,Gobierno Regional,1.0,1.0,,,,,,,,,,,,
55,2022-06-03,Ayacucho,Daniel Rojas Laurente,Corresponsal de la provincia de Leoncio Prado,Frente de Defensa de los Intereses de la Provincia de Leoncio Prado,,"Mencionó que partió una comisión de Tingo María encabezado por el Frente de Defensa de los Intereses de la Provincia de Leoncio Prado hacia el caserío de Bolognesi donde se llevaría a cabo la construcción de un centro educativa de una manera deficiente. Mencionó que, según denunciaron los pobladores del caserío, la empresa encargada de la obra antes se dedicaba a realizar fiestas en Tingo María y ahora es una constructora, por lo que preguntó porque el alcalde de la provincia Miguel Ángel Meza Malpartida favoreció a tal empresa.",Gris,Infraestructura,,1.0,,,,,,,,,,,,
56,2022-06-03,Ayacucho,Jhon José Nalvarte Loya,Director de la Oficina Regional de Gestión en Conflictos Sociales del Gobierno Regional de Huánuco,Consejo Regional de Huánuco,,"Comentó que le pareciera que el Consejo Regional de Huánuco no le da la confianza para continuar en el cargo, pero preguntó que se le puede pedir a un consejo culpable de la megacorrupción en el Gobierno Regional de Huánuco, siendo el mayor responsable el gobernador. Destacó la valentía de dos consejeros que votaron en contra de que fuese retirado de la última sesión extraordinaria del consejo, siendo estos Gaspar Abelio Rumi Benancio y otro cuyo nombre no recuerda.",Gris,Gobierno Regional,,1.0,,,,,,,,,,,,
57,2022-06-03,Ayacucho,Américo Cárdenas,Consejero regional de Huánuco,Jhon José Nalvarte Loya,Director de la Oficina Regional de Gestión en Conflictos Sociales del Gobierno Regional de Huánuco,"Respecto al retiro del funcionario Jhon Nalvarte de la última sesión extraordinaria del Consejo Regional de Huánuco, mencionó que se hizo uso del derecho que le asiste la ley orgánica de gobiernos regionales, y que el funcionario lo primero que debió haber echo ante el pleno del consejo regional, era disculparse por los insultos desde hace 3 años en contra de los consejeros a quienes llamó corruptos y ladrones durante la gestión del exgobernador Juan Alvarado Cornelio, a quien en su cara y en plena sesión, en su momento, le dijo todas las porquerías que se estaban cometiendo en su gestión, que debía corregirse, pero al final, todo salió en Cuarto Poder y el resto es historia.",Gris,Gobierno Regional,,1.0,,,,,,,,,,,,
58,2022-06-03,Ayacucho,Periodista,,,,Informó que el parlamento aprobó en primera sesión la propuesta de la comisión de justicia que faculta a los notarios la posibilidad de celebrar matrimonios civiles tal como se hacen en las municipalidades.,Gris,Sociedad,,,,,,1.0,,,,,,,,
59,2022-06-03,Ayacucho,Periodista,,Corte Interamericana de Derechos Humanos,,Mencionó que el relator de la Corte Interamericana de Derechos Humanos alerta sobre limitaciones a la labor de la prensa en Perú para acceder a fuentes del Estado.,Gris,Judicial,,,,,,1.0,,,,,,,,
60,2022-06-03,Ayacucho,Periodista,,,,"Indicó que diariamente cientos de personas que acuden al Hospital Regional Hermilio Valdizán sufren maltratos por parte del personal de salud, según denunciaron ciudadanos.",Gris,Salud,,,1.0,,,,1,,,,,,,
61,2022-06-03,Ayacucho,Periodista,,José Luis Villavicencio,Alcalde de la provincia de Huánuco,Mencionó que el alcalde de la provincia de Huánuco José Luis Villavicencio inauguró el parque Cartagena pese a observaciones de la Contraloría y que la empresa contratista no levantó observaciones.,Gris,Infraestructura,,,1.0,,,1.0,1,,,,,,,
62,2022-06-03,Ayacucho,Periodista,,,,Señaló que después de 3 años de investigación el Poder Judicial sentenció a policía por pedir coima y a su colega que cometió el mismo delito.,Gris,Judicial,,,1.0,,,,,,,,,,,
63,2022-06-03,Ayacucho,Periodista,,,,Comentó que este domingo el León de Huánuco enfrentará a la UNHEVAL por la segunda fase de la Copa Perú etapa provincial. (integración local),Gris,Deporte,,,1.0,,,,,,,,,,,
64,2022-06-03,Ayacucho,Carlos Fernández. Corresponsal de la provincia de Ambo,,,,"Informó que, según denunció un ciudadano de Ambo, la gestión municipal de la localidad ya lleva 3 gestiones sin que estos encuentren solución al saneamiento básico, problema que se agravó durante la pandemia, además mencionó que el agua a veces llega al lugar, los establecimientos, negocios y viviendas tienen problemas para recolectar agua. Precisó que Ambo es rico en recursos naturales y turísticos, pero esos recursos deben ser transformados en productos para reactivar la economía, como en Leoncio Prado donde pareciera que la pandemia no les afectó.",Gris,Agua,,,1.0,,,,,,,,,,,
65,2022-06-03,Ayacucho,Periodista,,,,"Informó que la Red de Salud del Ministerio de Salud alertó del incremento de casos de la Covid-19 en distintos puntos del país. Uno de los incrementos más altos es en la ciudad de Chimbote. No obstante, recomendó a las personas mantener las medidas de bioseguridad.",Gris,Salud,,,,,1,,,,,,,,,
66,2022-06-03,Ayacucho,Periodista,,,,"Indicó que en Ica se está desarrollando un proyecto de Escuelas de Campo para brindar capacitaciones en agricultura a comunidades campesinas para potenciar sus habilidad. Asimismo, detalló que este proyecto puede expandirse a otras regiones del país con el objetivo de que los ",Celeste,Comunidad Campesina,,,,,1,,,,,,,,,
67,2022-06-06,Ayacucho,Periodista,,Javier Arce,Ministro de Agricultura,"Informó que el ministro de Agricultura, Javier Arce, presentó su renuncia irrevocable por motivos de índole personal, luego de asumir cargo hace dos semanas, pero antes realizó nuevas designaciones en la cartera, colocando 15 personas.",Gris,Gobierno Central,1.0,1.0,,,,1.0,1,,,,,,,
68,2022-06-06,Ayacucho,Periodista,,Javier Arce,,"Señaló que, tras la salida de Javier Arce en reemplazo del cuestionado Óscar Zea como ministro de Agricultura, y debido a la no solución de la crisis en el sector agrario, gremios a nivel nacional anunciaron un paro en sus respectivas regiones. (Ineficiencia del Gobierno)",Celeste,Gobierno Central,,,,,,1.0,1,,,,,,,
69,2022-06-06,Ayacucho,Periodista,,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Mencionó que la Corte Superior de Justicia de Huánuco verá este 14 de junio, por inhibición, el recurso de apelación de los 18 meses de prisión preventiva para el suspendido gobernador, Juan Alvarado Cornelio.",Gris,Judicial,,1.0,,,,1.0,,,,,,,,1.0
70,2022-06-06,Ayacucho,Periodista,,Universidad Nacional Hermilio Valdizán (UNHEVAL),,"Indicó que, en el marco del Día Mundial del Ambiente, autoridades, docentes y estudiantes de la Universidad Nacional Hermilio Valdizán (UNHEVAL) desarrollaron una jornada de limpieza de la ribera del río Huallaga.",Gris,Medioambiente,1.0,1.0,,,,1.0,1,,,,,,,1.0
71,2022-06-06,Ayacucho,Daniel Rojas Laurente,Corresponsal de la provincia de Leoncio Prado,,,"Informó que hasta el momento no se instala la mesa técnica en Leoncio Prado por parte del Consejo de Ministros para solucionar los principales problemas de los agricultores y productores, mesa a la cual no se habrían invitado a los principales dirigentes del sector. (Ineficiencia del Gobierno)",Celeste,Agropecuario,1.0,1.0,,,,,,,,,,,,
72,2022-06-06,Ayacucho,Javier Fonseca,Corresponsal de la provincia de Huamalíes,,,Indicó que la situación se está tornando preocupante en Huamalíes debido a la gran cantidad de precipitaciones pluviales que perjudica a los agricultores porque se está en plena cosecha.,Gris,Clima,,1.0,,,,,,,,,,,,
