N°,Fecha,Lugar,Actor o grupo social emisor,Institución y Cargo actor o grupo social emisor,Actor o grupo social Involucrado 1,Institución y Cargo actor o grupo social involucrado 1,Acontecimiento,Posición,Área,"Studio 5 – Studio 5 Noticias – Rubén Valdés Alvarado, Paola Reynaga (97.7)",Ondas del Huallaga – Noticiero Ondas del Huallaga - José Carlos Ponce de León(88.9),"Radio Noticias del Perú – Radio Noticias Huánuco Edición Central – Bequer Bejarano, Nuvith Condezo Celis, Juan Malpartida (102.5)","Primer Plano - RNP - Ítalo Guillermo, Silvia Salas (102.5)",Radio Nacional – Cuatro Suyos – Ronald Cáceres / Manuel Bejarano (100.9),Radio Sinaí - Opinión Libre - Jaime Herrera  Echevarria (90.1),Radio Rumba Perú - RTL Noticias - Koko Giles/ Juan Manuel (95.3),Radio Pulsar - El Informante - Miguel Angel Domínguez (100.5),Radio Llata - Punto de Encuentro - Carlos Chavez Firma(92.3),Radio Paraiso 96.9 - Aires de Tradición Andina - Hector Facundo Damazo,Panorama Cultural Oyonense - Maximo Samaniego - Radio Oyon (102.5),Noticiero Musical - Hector Facundo Damazo - Radio Sol - Oyon,Radio La Altura 7-9am,Radio UNHEVAL – Noticiero (96.1)
5344,2023-04-21,Ayacucho,Jhon Tucto,Dirigente del distrito de Pillco Marca,Diana Plejo,Alcaldesa del distrito de Pillco Marca,"Consideró absurdo que la alcaldesa de Pillco Marca, Diana Plejo, esté destinando más de 200 mil soles para el aniversario del distrito donde hay grandes necesidades en salud, pistas y educación, pero señaló que alcaldesa está empezando mal su gestión con gastos innecesarios.",Celeste,Gobierno Locales,,,1.0,,,,,,,,,,,
5345,2023-04-21,Ayacucho,Mónica Caldoretti,Dirigente de la FENUTSAA,Federación Nacional Unificada de Trabajadores de Salud Administrativos y Asistenciales (FENUTSAA),,"Manifestó que se envió un requerimiento al gobernador regional de Huánuco donde se señala que el director regional de Salud no va para más, debe dar un paso al costado, porque no quiere atender las necesidades del sector salud de Huánuco y recientemente cometió un abuso contra los extrabajadores CAS Covid-19 a quienes quieren volver a evaluar con el cuento de que hay observaciones: “Queremos la renuncia de él y de todos sus funcionarios incompetentes que solamente dan problemas a los trabajadores y a la población”, manifestó.",Celeste,Salud,,,1.0,,,,,,,,,,,
5346,2023-04-21,Ayacucho,Daniel Mayo Falcón,Periodista,Corte Superior de Justicia de Huánuco,,"Mencionó que ayer se realizó la Corte Superior de Justicia de Huánuco desarrolló una feria informativa en la ciudad de Huánuco, como parte de las actividades del 87 aniversario de la institución.",Gris,Judicial,1.0,,,,,,,,,,,,,
5347,2023-04-21,Ayacucho,Jaime Gerónimo de la Cruz,Presidente de la Corte Superior de Justicia de Huánuco ,Corte Superior de Justicia de Huánuco,,"En declaraciones a la prensa, comentó que la Corte Superior de Justicia de Huánuco detectó más de 6 mil casos de violencia familiar en la región Huánuco en el año 2022, por tanto, la institución está focalizando sus recursos en este problema social que genera problemas y repercute en las familias.",Gris,Judicial,1.0,,,,,,,,,,,,,
5348,2023-04-21,Ayacucho,Antonio Jara,Alcalde de la provincia de Huánuco,,,"En declaraciones a la prensa, manifestó que todos los gerentes que puso tienen la suficiente calidad profesional; sin embargo, señaló que estos son cargos de confianza y están en constante evaluación. En tal sentido, mencionó que en estos 100 días de gestión se verá quiénes se quedan y quiénes se van, porque aquellos que no están a la altura de la gestión deben dar un paso al costado.",Gris,Gobierno Locales,1.0,,,,,,,,,,,,,
5349,2023-04-21,Ayacucho,Miguel Ángel Domínguez,Periodista,Gobierno Regional de Huánuco,,Comentó que desde el Gobierno Regional de Huánuco anunciaron la construcción de pozos tubulares de agua potable en caso de emergencias.,Gris,Gobierno Regional,,,,,,,,1.0,,,,,,
5350,2023-04-24,Ayacucho,José Ponce de León,Periodista,Dina Boluarte,Presidenta de la República,"Informó que la presidenta de la República, Dina Boluarte, designó a Victoriano Regin como nuevo subprefecto provincial de Huánuco.",Gris,Gobierno Central,1.0,1.0,,,,1.0,,,,,,,,
5351,2023-04-24,Ayacucho,José Ponce de León,Periodista,Roger Hidalgo,Alcalde del distrito de Amarilis,"Mencionó que gestión de obras, recaudación y mejora de servicios destacaron en los 100 primeros días de gestión del alcalde del distrito de Amarilis, Roger Hidalgo.",Gris,Municipalidad,1.0,1.0,,,,1.0,,,,,,,,
5352,2023-04-24,Ayacucho,José Ponce de León,Periodista,,,"Reveló que los estudiantes de la institución educativa 32016 del caserío de Tindalpampa, provincia de Huánuco, llevan años estudiando en un local de adobe y madera, sin pupitres y material educativo.",Gris,Educación,1.0,1.0,,,,1.0,,,,,,,,
5353,2023-04-24,Ayacucho,José Ponce de León,Periodista,Gobierno Regional de Huánuco,,Informó que el Gobierno Regional de Huánuco continuará revisión de contratos CAS indeterminados.,Gris,Gobierno Regional,1.0,1.0,,,,1.0,,,,,,,,
5354,2023-04-24,Ayacucho,José Ponce de León,Periodista,Gobierno Regional de Huánuco,,Mencionó que el jefe de la ODECMA pidió al Gobierno Regional de Huánuco y municipalidades evitar los despidos injustificados.,Gris,Gobierno Regional,1.0,1.0,,,,1.0,,,,,,,,
